location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira,source
Old Ikoyi Ikoyi Lagos,5.0,5.0,,,House FOR Rent,49990000/year,propertypro
Parkview Estate Ikoyi Lagos,4.0,4.0,,,House FOR Rent,35000000/year,propertypro
Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,39900000/year,propertypro
Victoria Island Extension Victoria Island Lagos,3.0,3.0,,,Flat Apartment FOR Rent,30000000/year,propertypro
Banana Island Estate Ikoyi Lagos,1.0,1.0,,,Flat Apartment FOR Rent,19999999/year,propertypro
Banana Island Estate Banana Island Ikoyi Lagos,4.0,4.0,,,House FOR Rent,45000000/year,propertypro
Old Ikoyi Old Ikoyi Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,25000000,propertypro
"Banana Island Estate, Ikoyi Lagos",4.0,4.0,,,Flat Apartment FOR Rent,90000000/year,propertypro
Old Ikoyi Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,25000000/year,propertypro
Osborne 1 Osborne Foreshore Estate Ikoyi Lagos,2.0,2.0,,,Flat Apartment FOR Rent,15000000/year,propertypro
Old Ikoyi Ikoyi Lagos,4.0,4.0,,,House FOR Rent,30000000/year,propertypro
Banana Island Estate Banana Island Ikoyi Lagos,4.0,4.0,,,House FOR Rent,88000000/year,propertypro
Banana Island Estate Ikoyi Lagos,4.0,4.0,,,House FOR Rent,99999999/year,propertypro
Banana Island Estate Banana Island Ikoyi Lagos,4.0,4.0,,,House FOR Rent,49999999/year,propertypro
Ikate Lekki Lagos,2.0,2.0,,,House FOR RENT,14000000/year,propertypro
Banana Island Estate Ikoyi Lagos,4.0,4.0,,,House FOR Rent,89500000/year,propertypro
Old Ikoyi Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,30000000/year,propertypro
Banana Island Ikoyi Lagos,4.0,4.0,,,Flat Apartment FOR Rent,50000000/year,propertypro
Banana Island Estate Ikoyi Lagos,4.0,4.0,,,House FOR Rent,50000000/year,propertypro
