location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
Secured Estate In Ajah Ajah Lagos,4,4,5,,4 BEDROOM DUPLEX For Sale,
"Royal Pine, Orchid Lekki Phase 2 Lekki Lagos",1,1,1,,1 BEDROOM SHARED APARTMENT,
"Castle And Temple, Lekki Phase 1 Lekki Phase 1 Lekki Lagos",3,3,4,,3 BEDROOM FLAT & APARTMENT,
Ikate Lekki Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM DUPLEX,
Ikate Lekki Lagos Shomolu Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Allen Avenue Ikeja Lagos,,,,,OFFICE,
Chevron Lekki Chevron Drive Lekki Lagos,4,4,5,,4 BEDROOM DUPLEX,
"Dr Ladi Alakija, Lekki Phase 1 Lekki Phase 1 Lekki Lagos",1,1,1,,1 BEDROOM STUDIO APARTMENT,
Osapa London Lekki Phase 1 Lekki Lagos,1,1,1,,1 BEDROOM SHARED APARTMENT,
Ikoyi Lagos Ikoyi Ikoyi Lagos,2,2,3,,2 BEDROOM MAISONETTE,
Oniru Vi Oniru Victoria Island Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Victoria Island Victoria Island Victoria Island Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Old Ikoyi Lagos,3,3,4,,3 BEDROOM FLAT & APARTMENT,
Thomas Estate Lekki Phase 2 Lekki Lagos,4,4,5,,4 BEDROOM TERRACED DUPLEX,
Ikoyi Lagos Ikoyi Ikoyi Lagos,10,10,10,,10 BEDROOM BLOCK OF FLATS,
Ikoyi Mojisola Onikoyi Estate Ikoyi Lagos,6,6,7,,6 BEDROOM HOUSE,
Ikate Lekki Phase 1 Ikate Elegushi Lekki Lagos,1,1,1,,1 BEDROOM MINI FLAT,
Lekki Phase One Proper Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Osapa London Lekki Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Lekki Conservative Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM DUPLEX,
Chevron Drive Lekki Chevron Drive Lekki Lagos,5,5,6,,5 BEDROOM SEMI DETACHED DUPLEX,
Orchid Road Lekki Phase 2 Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Ologolo Lekki Lagos,4,,,,4 BEDROOM DUPLEX For Sale,
Lekki Phase One Proper Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM MAISONETTE,
Ikate Lekki Phase One Lekki Phase 1 Lekki Lagos,5,5,6,,5 BEDROOM DUPLEX,
Pinnock Beach Osapa Osapa Lekki Lagos,4,4,5,,4 BEDROOM DUPLEX,
Orchid Lekki Phase 2 Lekki Phase 2 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Lekki Lagos,1,1,1,,1 BEDROOM FLAT & APARTMENT,
Ikate Lekki Lekki Phase 1 Lekki Lagos,5,5,6,,5 BEDROOM DUPLEX,
Lekki Phase One Proper Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Proper Lekki Phase One Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Ikoyi Lagos Ikoyi Ikoyi Lagos,2,2,3,,2 BEDROOM MAISONETTE,
Ikate Lekki Lekki Phase 1 Lekki Lagos,1,1,2,,1 BEDROOM FLAT & APARTMENT,
Plantinium Way Ikate Lekki Nicon Town Lekki Lagos,4,4,5,,4 BEDROOM TERRACE,
Victoria Island Lagos,3,3,4,,3 BEDROOM FLAT & APARTMENT,
"Royal Pine, Orchid Lekki Phase 2 Lekki Lagos",1,1,1,,1 BEDROOM SHARED APARTMENT,
Old Ikoyi Old Ikoyi Ikoyi Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Lekki Phase One Proper Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
"Glover Road, Ikoyi Lekki Phase 1 Lekki Lagos",3,3,4,,3 BEDROOM DETACHED DUPLEX,
Chervon Lekki Phase 2 Lekki Phase 2 Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Osapa London Lekki Phase 1 Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM FLAT & APARTMENT,
