location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
Victoria Island Lagos,3,3,,,Flat Apartment FOR Rent,30000000/year
Ikoyi Lagos,4,4,,,Flat Apartment FOR Rent,34900000/year
Old Ikoyi Ikoyi Lagos,4,4,,,Flat Apartment FOR Rent,30000000/year
Old Ikoyi Old Ikoyi Ikoyi Lagos,4,4,,,Flat Apartment FOR Rent,49999999/year
Old Ikoyi Ikoyi Lagos,3,3,,,House FOR Rent,39990000/year
Old Ikoyi Old Ikoyi Ikoyi Lagos,5,5,,,House FOR Rent,179999999/year
Banana Island Estate Banana Island Ikoyi Lagos,3,2,,,Flat Apartment FOR Rent,49500000/year
Ikoyi Parkview Estate Ikoyi Lagos,4,4,,,House FOR Rent,29999999/year
Dawaki Abuja,5,5,,,House FOR RENT,16000000/year
Parkview Estate Ikoyi Lagos,4,4,,,House FOR Rent,17000000
Ahmadu Bello Way Victoria Island Lagos,3,3,,,House FOR Rent,15000000/year
Ikoyi S.w Ikoyi Lagos,4,4,,,House FOR Rent,30000000
Old Ikoyi Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,39990000/year
"Banana Island Estate, Ikoyi Lagos",5,5,,,House FOR Rent,90000000/year
Old Ikoyi Ikoyi Lagos,4,4,,,Flat Apartment FOR Rent,40000000/year
Old Ikoyi Ikoyi Lagos,5,5,,,House FOR Rent,49990000/year
Parkview Estate Ikoyi Lagos,4,4,,,House FOR Rent,35000000/year
Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,39900000/year
By Dunamis Durumi Abuja,2,2,,,Flat / Apartment FOR SALE,75000000
Victoria Island Extension Victoria Island Lagos,3,3,,,Flat Apartment FOR Rent,30000000/year
Banana Island Estate Ikoyi Lagos,1,1,,,Flat Apartment FOR Rent,19999999/year
Banana Island Estate Banana Island Ikoyi Lagos,4,4,,,House FOR Rent,45000000/year
Old Ikoyi Old Ikoyi Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,25000000
"Banana Island Estate, Ikoyi Lagos",4,4,,,Flat Apartment FOR Rent,90000000/year
Old Ikoyi Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,25000000/year
Osborne 1 Osborne Foreshore Estate Ikoyi Lagos,2,2,,,Flat Apartment FOR Rent,15000000/year
Old Ikoyi Ikoyi Lagos,4,4,,,House FOR Rent,30000000/year
Banana Island Estate Banana Island Ikoyi Lagos,4,4,,,House FOR Rent,88000000/year
Banana Island Estate Ikoyi Lagos,4,4,,,House FOR Rent,99999999/year
Banana Island Estate Banana Island Ikoyi Lagos,4,4,,,House FOR Rent,49999999/year
Ikate Lekki Lagos,2,2,,,House FOR RENT,14000000/year
Banana Island Estate Ikoyi Lagos,4,4,,,House FOR Rent,89500000/year
Old Ikoyi Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,30000000/year
Banana Island Ikoyi Lagos,4,4,,,Flat Apartment FOR Rent,50000000/year
Banana Island Estate Ikoyi Lagos,4,4,,,House FOR Rent,50000000/year
Banana Island Ikoyi Lagos,4,4,,,House FOR Rent,50000000/year
Old Ikoyi Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,37000000/year
Old Ikoyi Ikoyi Lagos,4,4,,,Flat Apartment FOR Rent,55000000/year
Banana Island Estate Banana Island Ikoyi Lagos,5,5,,,House FOR Rent,144000000
Banana Island Estate Banana Island Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,94000000/year
Omole Phase 1 Ikeja Lagos Ikeja Lagos,5,6,,,House FOR SALE,600000000
Old Ikoyi Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,45000000/year
Old Ikoyi Old Ikoyi Ikoyi Lagos,3,2,,,Flat Apartment FOR Rent,24000000/year
Old Ikoyi Ikoyi Lagos,1,1,,,Flat Apartment FOR Rent,18000000/year
Parkview Estate Ikoyi Lagos,4,4,,,House FOR Rent,30000000/year
Parkview Estate Ikoyi Lagos,4,4,,,House FOR Rent,39999999/year
Parkview Estate Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,22000000/year
Old Ikoyi Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,30000000/year
